"STAROSTNE SKUPINE","1982 Spol - SKUPAJ","1982 Moški","1982 Ženske","1983 Spol - SKUPAJ","1983 Moški","1983 Ženske","1984 Spol - SKUPAJ","1984 Moški","1984 Ženske","1985 Spol - SKUPAJ","1985 Moški","1985 Ženske","1986 Spol - SKUPAJ","1986 Moški","1986 Ženske","1987 Spol - SKUPAJ","1987 Moški","1987 Ženske","1988 Spol - SKUPAJ","1988 Moški","1988 Ženske","1989 Spol - SKUPAJ","1989 Moški","1989 Ženske","1990 Spol - SKUPAJ","1990 Moški","1990 Ženske","1991 Spol - SKUPAJ","1991 Moški","1991 Ženske","1992 Spol - SKUPAJ","1992 Moški","1992 Ženske","1993 Spol - SKUPAJ","1993 Moški","1993 Ženske","1994 Spol - SKUPAJ","1994 Moški","1994 Ženske","1995 Spol - SKUPAJ","1995 Moški","1995 Ženske","1996 Spol - SKUPAJ","1996 Moški","1996 Ženske","1997 Spol - SKUPAJ","1997 Moški","1997 Ženske","1998 Spol - SKUPAJ","1998 Moški","1998 Ženske","1999 Spol - SKUPAJ","1999 Moški","1999 Ženske","2000 Spol - SKUPAJ","2000 Moški","2000 Ženske","2001 Spol - SKUPAJ","2001 Moški","2001 Ženske","2002 Spol - SKUPAJ","2002 Moški","2002 Ženske","2003 Spol - SKUPAJ","2003 Moški","2003 Ženske","2004 Spol - SKUPAJ","2004 Moški","2004 Ženske","2005 Spol - SKUPAJ","2005 Moški","2005 Ženske","2006 Spol - SKUPAJ","2006 Moški","2006 Ženske","2007 Spol - SKUPAJ","2007 Moški","2007 Ženske","2008 Spol - SKUPAJ","2008 Moški","2008 Ženske","2009 Spol - SKUPAJ","2009 Moški","2009 Ženske","2010 Spol - SKUPAJ","2010 Moški","2010 Ženske","2011 Spol - SKUPAJ","2011 Moški","2011 Ženske","2012 Spol - SKUPAJ","2012 Moški","2012 Ženske","2013 Spol - SKUPAJ","2013 Moški","2013 Ženske","2014 Spol - SKUPAJ","2014 Moški","2014 Ženske","2015 Spol - SKUPAJ","2015 Moški","2015 Ženske","2016 Spol - SKUPAJ","2016 Moški","2016 Ženske","2017 Spol - SKUPAJ","2017 Moški","2017 Ženske","2018 Spol - SKUPAJ","2018 Moški","2018 Ženske"
"Starostne skupine - SKUPAJ",51175,24295,26880,49208,23386,25822,55086,26196,28890,47613,22855,24758,48049,22805,25244,39344,18548,20796,41125,19361,21764,39600,18398,21202,37594,17540,20054,35954,16946,19008,42741,20286,22455,34997,16439,18558,31420,14667,16753,25736,11801,13935,28655,13377,15278,29313,13717,15596,30110,14035,16075,30509,14186,16323,29781,13709,16072,30967,14503,16464,34868,16827,18041,27844,12875,14969,30215,13991,16224,32204,14986,17218,38501,18097,20404,38581,18135,20446,106248,50464,55784,96602,50113,46489,106551,55217,51334,107988,56890,51098,112668,57827,54841,113389,57983,55406,113104,57345,55759,108944,54654,54290,110459,55315,55144,112356,56160,56196,103961,53901,50060
"0-4 let",6946,3525,3421,6501,3311,3190,7008,3601,3407,6486,3342,3144,6419,3224,3195,5258,2681,2577,5449,2739,2710,5249,2653,2596,4971,2594,2377,4759,2409,2350,4934,2542,2392,4199,2149,2050,3839,1915,1924,2925,1469,1456,3214,1660,1554,3142,1632,1510,3134,1610,1524,3236,1644,1592,3149,1578,1571,3461,1757,1704,3647,1910,1737,2825,1437,1388,3243,1701,1542,3379,1741,1638,3737,1931,1806,3889,1988,1901,6512,3321,3191,6370,3241,3129,7139,3656,3483,7087,3719,3368,7196,3701,3495,6755,3455,3300,6599,3351,3248,6713,3499,3214,6550,3376,3174,6719,3426,3293,6554,3390,3164
"5-9 let",3693,1855,1838,3435,1754,1681,4320,2203,2117,4055,2105,1950,4027,2097,1930,3159,1614,1545,3399,1778,1621,3062,1545,1517,2959,1505,1454,2677,1365,1312,3218,1643,1575,2690,1376,1314,2405,1235,1170,1947,992,955,2281,1155,1126,2174,1138,1036,2215,1132,1083,2097,1095,1002,2057,1051,1006,2150,1102,1048,2437,1264,1173,1800,910,890,1928,1008,920,1934,995,939,2426,1252,1174,2546,1267,1279,3744,1905,1839,3599,1854,1745,4110,2110,2000,3974,2044,1930,4292,2218,2074,4410,2277,2133,4687,2368,2319,4773,2468,2305,5104,2660,2444,5197,2667,2530,4688,2380,2308
"10-14 let",1836,981,855,1846,943,903,2334,1171,1163,2255,1179,1076,2228,1106,1122,1817,941,876,1960,997,963,1930,1001,929,1876,991,885,1706,889,817,2285,1213,1072,1879,971,908,1643,873,770,1256,630,626,1491,759,732,1626,838,788,1632,850,782,1721,887,834,1588,841,747,1652,860,792,1934,991,943,1425,728,697,1514,746,768,1493,761,732,1790,915,875,1833,912,921,2645,1357,1288,2369,1194,1175,2623,1311,1312,2563,1328,1235,2725,1417,1308,2770,1408,1362,2849,1471,1378,2747,1424,1323,2948,1497,1451,2887,1516,1371,2736,1423,1313
"15-19 let",3970,1065,2905,3723,979,2744,3819,1146,2673,3391,1010,2381,3233,921,2312,2750,774,1976,2650,800,1850,2490,816,1674,2347,789,1558,2143,709,1434,2729,989,1740,2175,842,1333,1867,692,1175,1605,632,973,1701,716,985,1749,754,995,1759,766,993,1757,785,972,1695,732,963,1604,727,877,1722,796,926,1461,652,809,1478,683,795,1632,741,891,1850,856,994,1789,844,945,10422,4591,5831,4831,2162,2669,5650,2582,3068,5916,2610,3306,6899,3033,3866,7517,3248,4269,7163,3166,3997,6942,3079,3863,6735,2922,3813,6864,3055,3809,6659,3031,3628
"20-24 let",10598,4073,6525,10096,3768,6328,10453,3819,6634,9101,3379,5722,8995,3281,5714,7906,2806,5100,7787,2676,5111,7470,2449,5021,6702,2100,4602,5973,1944,4029,6168,1997,4171,5119,1619,3500,4669,1446,3223,4138,1291,2847,4062,1302,2760,3982,1304,2678,3948,1237,2711,3818,1205,2613,3480,1100,2380,3276,1076,2200,3091,1020,2071,2717,919,1798,2657,864,1793,2652,926,1726,2887,1033,1854,2822,1000,1822,18948,7871,11077,13897,6313,7584,14562,6435,8127,15366,6928,8438,16870,7185,9685,16039,6766,9273,16270,6620,9650,15608,6402,9206,14963,6224,8739,14831,6122,8709,12818,5614,7204
"25-29 let",9726,5225,4501,9085,4918,4167,9887,5161,4726,8122,4278,3844,8509,4381,4128,6972,3568,3404,7225,3606,3619,6988,3466,3522,6449,3063,3386,6689,3192,3497,7038,3276,3762,5906,2685,3221,5568,2505,3063,4484,1989,2495,4747,2114,2633,4662,1999,2663,4722,2037,2685,4888,2073,2815,4892,2032,2860,5138,2055,3083,5503,2281,3222,4602,1805,2797,5006,1882,3124,5360,2046,3314,6173,2416,3757,6106,2311,3795,15778,6894,8884,15884,7653,8231,17404,8232,9172,17359,8467,8892,17362,8131,9231,17094,7991,9103,17393,7969,9424,16634,7488,9146,16822,7460,9362,16921,7518,9403,14596,6865,7731
"30-34 let",5357,3084,2273,5256,3023,2233,6392,3613,2779,5241,2968,2273,5480,3106,2374,4256,2403,1853,4681,2618,2063,4268,2362,1906,4141,2247,1894,3965,2218,1747,4900,2638,2262,3901,2062,1839,3568,1874,1694,2879,1490,1389,3506,1783,1723,3532,1743,1789,3659,1830,1829,3533,1728,1805,3399,1561,1838,3748,1826,1922,4491,2211,2280,3383,1578,1805,3918,1810,2108,4279,2067,2212,5486,2579,2907,5752,2652,3100,11869,6066,5803,12870,7010,5860,14891,8128,6763,15158,8228,6930,15256,8140,7116,14965,8156,6809,14778,7930,6848,14130,7371,6759,14548,7484,7064,14708,7583,7125,13136,7023,6113
"35-39 let",2457,1445,1012,2577,1518,1059,3172,1844,1328,2780,1641,1139,3071,1763,1308,2439,1443,996,2845,1653,1192,2751,1559,1192,2694,1547,1147,2531,1432,1099,3301,1849,1452,2720,1536,1184,2334,1319,1015,1816,990,826,2104,1148,956,2291,1224,1067,2315,1225,1090,2525,1311,1214,2505,1294,1211,2706,1443,1263,3329,1806,1523,2511,1278,1233,2713,1377,1336,2901,1466,1435,3454,1741,1713,3628,1896,1732,7052,4037,3015,8186,5073,3113,9373,5620,3753,9790,6020,3770,10446,6230,4216,10385,6108,4277,10410,6081,4329,10371,5894,4477,10696,6178,4518,11200,6430,4770,10691,6303,4388
"40-44 let",1672,954,718,1677,990,687,1931,1138,793,1535,874,661,1557,894,663,1296,740,556,1422,832,590,1412,805,607,1587,902,685,1550,892,658,2281,1260,1021,1833,1041,792,1641,932,709,1324,733,591,1536,844,692,1690,916,774,1809,980,829,1874,997,877,1886,1007,879,1980,1025,955,2397,1311,1086,1849,987,862,2038,1084,954,2160,1083,1077,2625,1375,1250,2762,1479,1283,5271,3167,2104,6057,4006,2051,6664,4315,2349,6733,4432,2301,6989,4457,2532,7104,4462,2642,7066,4412,2654,6952,4230,2722,7423,4491,2932,7603,4578,3025,7712,4692,3020
"45-49 let",1138,633,505,1193,676,517,1325,705,620,1087,616,471,1083,614,469,858,502,356,963,518,445,954,532,422,947,532,415,915,536,379,1478,808,670,1107,609,498,1073,600,473,915,509,406,1097,595,502,1367,721,646,1398,740,658,1573,837,736,1518,825,693,1650,893,757,2043,1110,933,1524,818,706,1637,872,765,1845,990,855,2147,1113,1034,2131,1136,995,4503,2717,1786,5130,3434,1696,5567,3692,1875,5855,3974,1881,5856,3841,2015,5893,3779,2114,5705,3651,2054,5176,3256,1920,5292,3304,1988,5363,3243,2120,5339,3337,2002
"50-54 let",1030,484,546,959,486,473,1197,571,626,916,469,447,917,485,432,680,357,323,732,374,358,811,398,413,717,358,359,783,398,385,1271,691,580,968,507,461,850,439,411,675,346,329,752,386,366,826,419,407,985,524,461,1026,553,473,1108,572,536,1269,679,590,1517,794,723,1235,626,609,1359,721,638,1535,808,727,1948,984,964,1761,968,793,3888,2381,1507,4053,2589,1464,4581,2931,1650,4641,3037,1604,4730,3070,1660,4998,3132,1866,4861,3124,1737,4597,2858,1739,4680,2937,1743,4814,2964,1850,4649,2956,1693
"55-59 let",769,297,472,782,300,482,1013,438,575,746,334,412,732,321,411,608,280,328,635,299,336,649,299,350,635,330,305,706,351,355,1055,558,497,832,433,399,592,294,298,530,270,260,630,324,306,699,370,329,791,404,387,812,413,399,775,410,365,791,424,367,943,517,426,822,432,390,887,436,451,1083,560,523,1498,803,695,1385,738,647,3035,1829,1206,3116,1891,1225,3596,2174,1422,3520,2181,1339,3804,2295,1509,3957,2434,1523,3921,2411,1510,3553,2217,1336,3684,2207,1477,3733,2237,1496,3535,2193,1342
"60-64 let",514,209,305,604,246,358,665,273,392,570,235,335,562,223,339,435,164,271,447,188,259,493,194,299,497,233,264,511,252,259,794,376,418,566,254,312,492,240,252,405,178,227,525,246,279,522,276,246,590,303,287,550,286,264,616,313,303,559,283,276,668,344,324,552,294,258,676,348,328,647,314,333,837,425,412,780,413,367,1745,972,773,1695,964,731,2229,1315,914,2247,1303,944,2400,1387,1013,2916,1677,1239,2878,1655,1223,2600,1494,1106,2660,1539,1121,2793,1562,1231,2671,1576,1095
"65-69 let",426,149,277,356,132,224,370,143,227,314,112,202,313,106,207,283,94,189,277,86,191,349,119,230,363,126,237,362,150,212,471,180,291,395,157,238,345,130,215,300,126,174,378,158,220,388,171,217,457,192,265,419,180,239,441,196,245,376,170,206,435,219,216,385,174,211,412,215,197,455,219,236,624,336,288,482,241,241,1460,752,708,1308,716,592,1350,685,665,1405,734,671,1374,754,620,1669,893,776,1682,904,778,1525,849,676,1694,914,780,1820,1028,792,1957,1057,900
"70-74 let",444,140,304,488,178,310,495,179,316,381,130,251,350,125,225,217,81,136,205,75,130,197,61,136,198,68,130,218,78,140,291,117,174,267,89,178,236,87,149,211,72,139,254,91,163,244,94,150,311,104,207,277,92,185,254,92,162,241,86,155,321,132,189,306,105,201,286,120,166,322,126,196,382,162,220,346,144,202,1623,697,926,1247,522,725,1342,637,705,1192,536,656,1201,567,634,1416,694,722,1404,646,758,1158,540,618,1211,573,638,1254,576,678,1137,551,586
"75-79 let",319,104,215,339,89,250,370,107,263,317,97,220,291,93,198,191,44,147,233,68,165,263,81,182,232,73,159,210,72,138,237,77,160,164,53,111,119,36,83,120,41,79,138,36,102,167,46,121,185,53,132,206,56,150,217,65,152,174,45,129,201,69,132,214,69,145,225,65,160,259,83,176,324,103,221,271,74,197,2196,762,1434,1733,586,1147,1649,568,1081,1508,546,962,1393,490,903,1458,554,904,1485,597,888,1374,539,835,1357,478,879,1358,578,780,1281,526,755
"80-84 let",195,51,144,195,59,136,216,56,160,211,59,152,178,48,130,129,29,100,148,40,108,168,40,128,180,55,125,163,33,130,162,45,117,171,38,133,124,26,98,121,24,97,130,31,99,126,40,86,112,28,84,79,15,64,99,21,78,105,29,76,115,31,84,148,41,107,143,42,101,165,39,126,213,47,166,198,55,143,2696,636,2060,1980,482,1498,1726,428,1298,1731,451,1280,1891,523,1368,1795,535,1260,1754,529,1225,1732,514,1218,1613,492,1121,1629,491,1138,1433,443,990
"85 + let",85,21,64,96,16,80,119,28,91,105,27,78,104,17,87,90,27,63,67,14,53,96,18,78,99,27,72,93,26,67,128,27,101,105,18,87,55,24,31,85,19,66,109,29,80,126,32,94,88,20,68,118,29,89,102,19,83,87,23,64,74,21,53,85,22,63,95,17,78,103,21,82,100,26,74,100,17,83,2861,509,2352,2277,423,1854,2095,398,1697,1943,352,1591,1984,388,1596,2248,414,1834,2199,460,1739,2359,532,1827,2479,579,1900,2662,586,2076,2369,541,1828
